season,match_id,match_name,home_team,away_team,bowling_team,venue,city,country,innings_id,name,fullName,overs,maidens,conceded,wickets,economyRate,dots,foursConceded,sixesConceded,wides,noballs,captain,href
2024.0,1422119,CSK v RCB,CSK,RCB,CSK,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,1,DL Chahar,Deepak Chahar,4,0,37,1,9.25,10,7,0,2,0,False,https://www.espncricinfo.com/ci/content/player/447261.html
2024.0,1422119,CSK v RCB,CSK,RCB,CSK,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,1,TU Deshpande,Tushar Deshpande,4,0,47,0,11.75,10,4,3,5,0,False,https://www.espncricinfo.com/ci/content/player/822553.html
2024.0,1422119,CSK v RCB,CSK,RCB,CSK,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,1,M Theekshana,Maheesh Theekshana,4,0,36,0,9.00,4,1,2,0,0,False,https://www.espncricinfo.com/ci/content/player/1138316.html
2024.0,1422119,CSK v RCB,CSK,RCB,CSK,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,1,Mustafizur Rahman,Mustafizur Rahman,4,0,29,4,7.25,12,3,1,2,0,False,https://www.espncricinfo.com/ci/content/player/330902.html
2024.0,1422119,CSK v RCB,CSK,RCB,CSK,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,1,RA Jadeja,Ravindra Jadeja,4,0,21,0,5.25,8,1,0,0,0,False,https://www.espncricinfo.com/ci/content/player/234675.html
2024.0,1422119,CSK v RCB,CSK,RCB,RCB,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,2,Mohammed Siraj,Mohammed Siraj,4,0,38,0,9.50,9,5,1,1,0,False,https://www.espncricinfo.com/ci/content/player/940973.html
2024.0,1422119,CSK v RCB,CSK,RCB,RCB,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,2,Yash Dayal,Yash Dayal,3,0,28,1,9.33,8,3,1,0,0,False,https://www.espncricinfo.com/ci/content/player/1159720.html
2024.0,1422119,CSK v RCB,CSK,RCB,RCB,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,2,AS Joseph,Alzarri Joseph,3.4,0,38,0,10.36,5,1,2,4,0,False,https://www.espncricinfo.com/ci/content/player/670031.html
2024.0,1422119,CSK v RCB,CSK,RCB,RCB,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,2,KV Sharma,Karn Sharma,2,0,24,1,12.00,4,0,3,0,0,False,https://www.espncricinfo.com/ci/content/player/30288.html
2024.0,1422119,CSK v RCB,CSK,RCB,RCB,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,2,MJ Dagar,Mayank Dagar,2,0,6,0,3.00,6,0,0,0,0,False,https://www.espncricinfo.com/ci/content/player/942367.html
2024.0,1422119,CSK v RCB,CSK,RCB,RCB,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,2,C Green,Cameron Green,3,0,27,2,9.00,5,1,1,3,0,False,https://www.espncricinfo.com/ci/content/player/1076713.html
2024.0,1422119,CSK v RCB,CSK,RCB,RCB,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,2,GJ Maxwell,Glenn Maxwell,1,0,7,0,7.00,4,0,1,0,0,False,https://www.espncricinfo.com/ci/content/player/325026.html
2024.0,1422120,PBKS v DC,PBKS,DC,PBKS,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Mohali,India,1,SM Curran,Sam Curran,1,0,10,0,10.00,3,2,0,1,0,False,https://www.espncricinfo.com/ci/content/player/662973.html
2024.0,1422120,PBKS v DC,PBKS,DC,PBKS,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Mohali,India,1,Arshdeep Singh,Arshdeep Singh,4,0,28,2,7.00,15,2,2,2,0,False,https://www.espncricinfo.com/ci/content/player/1125976.html
2024.0,1422120,PBKS v DC,PBKS,DC,PBKS,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Mohali,India,1,K Rabada,Kagiso Rabada,4,0,36,1,9.00,12,1,4,1,0,False,https://www.espncricinfo.com/ci/content/player/550215.html
2024.0,1422120,PBKS v DC,PBKS,DC,PBKS,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Mohali,India,1,Harpreet Brar,Harpreet Brar,3,0,14,1,4.66,7,1,0,0,0,False,https://www.espncricinfo.com/ci/content/player/1168641.html
2024.0,1422120,PBKS v DC,PBKS,DC,PBKS,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Mohali,India,1,RD Chahar,Rahul Chahar,4,0,33,1,8.25,6,3,1,0,0,False,https://www.espncricinfo.com/ci/content/player/1064812.html
2024.0,1422120,PBKS v DC,PBKS,DC,PBKS,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Mohali,India,1,HV Patel,Harshal Patel,4,0,47,2,11.75,7,6,2,0,0,False,https://www.espncricinfo.com/ci/content/player/390481.html
2024.0,1422120,PBKS v DC,PBKS,DC,DC,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Mohali,India,2,KK Ahmed,Khaleel Ahmed,4,0,43,2,10.75,7,8,0,0,0,False,https://www.espncricinfo.com/ci/content/player/942645.html
2024.0,1422120,PBKS v DC,PBKS,DC,DC,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Mohali,India,2,I Sharma,Ishant Sharma,2,0,16,1,8.00,8,3,0,3,0,False,https://www.espncricinfo.com/ci/content/player/236779.html
