season,id,name,short_name,description,home_team,away_team,toss_won,decision,1st_inning_score,2nd_inning_score,home_score,away_score,winner,result,start_date,end_date,venue_id,venue_name,home_captain,away_captain,pom,points,super_over,home_overs,home_runs,home_wickets,home_boundaries,away_overs,away_runs,away_wickets,away_boundaries,highlights,home_key_batsman,home_key_bowler,home_playx1,away_playx1,away_key_batsman,away_key_bowler,match_days,umpire1,umpire2,tv_umpire,referee,reserve_umpire
2024,1422119,Chennai Super Kings v Royal Challengers Bengaluru,CSK v RCB,"1st Match (N), Indian Premier League at Chennai, Mar 22 2024",CSK,RCB,RCB,BAT FIRST,173/6,176/4,176/4,173/6,CSK,CSK won by 6 wkts (8b rem),2024-03-22T14:30Z,2024-03-23T23:59Z,58008,"MA Chidambaram Stadium, Chepauk, Chennai",Ruturaj Gaikwad,Faf du Plessis,Mustafizur Rahman,"Chennai Super Kings 2, Royal Challengers Bengaluru 0",False,18.4,176,4,19,20,173,6,22,Mustafizur stars as Gaikwad's CSK start title defence with comfortable win over RCB. Rachin Ravindra and Shivam Dube played key roles with the bat as CSK won by six wickets,"Rachin Ravindra,Shivam Dube","Mustafizur Rahman,Deepak Chahar","Ruturaj Gaikwad (UKN),Rachin Ravindra (AR),Ajinkya Rahane (UKN),Daryl Mitchell (AR),Shivam Dube (AR),Ravindra Jadeja (AR),Sameer Rizvi (UKN),MS Dhoni (WK),Deepak Chahar (BL),Maheesh Theekshana (BL),Tushar Deshpande (BL),Mustafizur Rahman (BL)","Virat Kohli (UKN),Faf du Plessis (UKN),Rajat Patidar (UKN),Glenn Maxwell (AR),Cameron Green (AR),Anuj Rawat (WK),Dinesh Karthik (UKN),Karn Sharma (BL),Alzarri Joseph (BL),Mayank Dagar (BL),Mohammed Siraj (BL),Yash Dayal (BL)","Anuj Rawat,Dinesh Karthik","Cameron Green,Karn Sharma",22 March 2024 - night match (20-over match),Saiyed Khalid,Virender Sharma,Nitin Menon,Javagal Srinath,Madanagopal Kuppuraj
2024,1422120,Punjab Kings v Delhi Capitals,PBKS v DC,"2nd Match (D/N), Indian Premier League at Mohali, Mar 23 2024",PBKS,DC,KXIP,BOWL FIRST,174/9,177/6,177/6,174/9,PBKS,PBKS won by 4 wkts (4b rem),2024-03-23T10:00Z,2024-03-24T23:59Z,1290799,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Shikhar Dhawan,Rishabh Pant,Sam Curran,"Punjab Kings 2, Delhi Capitals 0",False,19.2,177,6,24,20,174,9,24,Sam Curran's 47-ball 63 gives Punjab Kings win at new home. Capitals were a bowler short while defending 174 as Ishant Sharma injured his ankle and had to go off after bowling just two overs,"Sam Curran,Liam Livingstone","Arshdeep Singh,Harshal Patel","Shikhar Dhawan (UKN),Jonny Bairstow (UKN),Prabhsimran Singh (UKN),Sam Curran (AR),Jitesh Sharma (WK),Liam Livingstone (AR),Shashank Singh (AR),Harpreet Brar (BL),Harshal Patel (BL),Kagiso Rabada (BL),Rahul Chahar (BL),Arshdeep Singh (BL)","David Warner (UKN),Mitchell Marsh (AR),Shai Hope (UKN),Rishabh Pant (WK),Ricky Bhui (UKN),Tristan Stubbs (UKN),Axar Patel (AR),Sumit Kumar (AR),Abishek Porel (UKN),Kuldeep Yadav (BL),Khaleel Ahmed (BL),Ishant Sharma (BL)","Shai Hope,Abishek Porel","Kuldeep Yadav,Khaleel Ahmed",23 March 2024 - day/night match (20-over match),Jayaraman Madanagopal,Nikhil Patwardhan,Alex Wharf,Narayanan Kutty,Pranav Joshi
2024,1422121,Kolkata Knight Riders v Sunrisers Hyderabad,KKR v SRH,"3rd Match (N), Indian Premier League at Kolkata, Mar 23 2024",KKR,SRH,SRH,BOWL FIRST,208/7,204/7,208/7,204/7,KKR,KKR won by 4 runs,2024-03-23T14:00Z,2024-03-24T23:59Z,57980,"Eden Gardens, Kolkata",Shreyas Iyer,Pat Cummins,Andre Russell,"Kolkata Knight Riders 2, Sunrisers Hyderabad 0",False,20,208,7,27,20,204,7,27,Russell trumps Klaasen as KKR hold on for win. Harshit Rana successfully defends 12 off the final over to hand the home side a thrilling four-run victory against Sunrisers,"Andre Russell,Phil Salt","Harshit Rana,Andre Russell","Phil Salt (WK),Sunil Narine (AR),Venkatesh Iyer (AR),Shreyas Iyer (UKN),Nitish Rana (UKN),Ramandeep Singh (UKN),Rinku Singh (UKN),Andre Russell (AR),Mitchell Starc (BL),Harshit Rana (BL),Varun Chakravarthy (BL),Suyash Sharma (BL)","Mayank Agarwal (UKN),Abhishek Sharma (AR),Rahul Tripathi (UKN),Aiden Markram (UKN),Heinrich Klaasen (WK),Abdul Samad (UKN),Shahbaz Ahmed (AR),Marco Jansen (AR),Pat Cummins (BL),Bhuvneshwar Kumar (BL),Mayank Markande (BL),T Natarajan (BL)","Heinrich Klaasen,Mayank Agarwal","T Natarajan,Mayank Markande",23 March 2024 - night match (20-over match),Yeshwant Barde,Rohan Pandit,Bruce Oxenford,Manu Nayar,Mohit Krishnadas
2024,1422122,Rajasthan Royals v Lucknow Super Giants,RR v LSG,"4th Match (D/N), Indian Premier League at Jaipur, Mar 24 2024",RR,LSG,RR,BAT FIRST,193/4,173/6,193/4,173/6,RR,RR won by 20 runs,2024-03-24T10:00Z,2024-03-25T23:59Z,58162,"Sawai Mansingh Stadium, Jaipur",Sanju Samson,KL Rahul,Sanju Samson,"Rajasthan Royals 2, Lucknow Super Giants 0",False,20,193,4,21,20,173,6,19,"Samson, Boult star as Royals overpower LSG. Pooran, Rahul fifties took the chase deep but LSG fell short by 20 runs","Sanju Samson,Riyan Parag","Trent Boult,Sandeep Sharma","Yashasvi Jaiswal (UKN),Jos Buttler (UKN),Sanju Samson (WK),Riyan Parag (UKN),Shimron Hetmyer (UKN),Dhruv Jurel (UKN),Ravichandran Ashwin (AR),Sandeep Sharma (BL),Yuzvendra Chahal (BL),Avesh Khan (BL),Trent Boult (BL),Nandre Burger (BL)","Quinton de Kock (UKN),KL Rahul (WK),Devdutt Padikkal (UKN),Ayush Badoni (UKN),Deepak Hooda (AR),Nicholas Pooran (UKN),Marcus Stoinis (AR),Krunal Pandya (AR),Ravi Bishnoi (BL),Mohsin Khan (BL),Naveen-ul-Haq (BL),Yash Thakur (BL)","Nicholas Pooran,KL Rahul","Naveen-ul-Haq,Ravi Bishnoi",24 March 2024 - day/night match (20-over match),Kumar Dharmasena,Akshay Totre,KN Ananthapadmanabhan,Prakash Bhatt,Vaibhav Dhokre
2024,1422123,Gujarat Titans v Mumbai Indians,GT v MI,"5th Match (N), Indian Premier League at Ahmedabad, Mar 24 2024",GT,MI,MI,BOWL FIRST,168/6,162/9,168/6,162/9,GT,GT won by 6 runs,2024-03-24T14:00Z,2024-03-25T23:59Z,57851,"Narendra Modi Stadium, Motera, Ahmedabad",Shubman Gill,Hardik Pandya,Sai Sudharsan,"Gujarat Titans 2, Mumbai Indians 0",False,20,168,6,18,20,162,9,22,"Titans pull off heist against former captain Hardik Pandya's Mumbai. It was another famous Gujarat Titans victory, in front of a home crowd of over eighty thousand","Sai Sudharsan,Shubman Gill","Azmatullah Omarzai,Spencer Johnson","Wriddhiman Saha (WK),Shubman Gill (UKN),Sai Sudharsan (UKN),Azmatullah Omarzai (AR),David Miller (UKN),Vijay Shankar (AR),Rahul Tewatia (AR),Rashid Khan (AR),Umesh Yadav (BL),Sai Kishore (BL),Spencer Johnson (BL),Mohit Sharma (BL)","Ishan Kishan (WK),Rohit Sharma (UKN),Naman Dhir (UKN),Dewald Brevis (AR),Tilak Varma (AR),Tim David (UKN),Hardik Pandya (AR),Gerald Coetzee (BL),Shams Mulani (AR),Piyush Chawla (AR),Jasprit Bumrah (BL),Luke Wood (BL)","Dewald Brevis,Rohit Sharma","Jasprit Bumrah,Gerald Coetzee",24 March 2024 - night match (20-over match),Vineet Kulkarni,Virender Sharma,Nitin Menon,Javagal Srinath,Madanagopal Kuppuraj
2024,1422124,Royal Challengers Bengaluru v Punjab Kings,RCB v PBKS,"6th Match (N), Indian Premier League at Bengaluru, Mar 25 2024",RCB,PBKS,RCB,BOWL FIRST,176/6,178/6,178/6,176/6,RCB,RCB won by 4 wkts (4b rem),2024-03-25T14:00Z,2024-03-26T23:59Z,57897,"M.Chinnaswamy Stadium, Bengaluru",Faf du Plessis,Shikhar Dhawan,Virat Kohli,"Royal Challengers Bengaluru 2, Punjab Kings 0",False,19.2,178,6,24,20,176,6,23,"The Kohli & Karthik show takes RCB over the line against spirited Punjab Kings. Bowlers from both sides put up a big show at a traditionally high-scoring venue, but the class and experience of Kohli and Karthik sealed the deal in the end","Virat Kohli,Dinesh Karthik","Mohammed Siraj,Glenn Maxwell","Virat Kohli (UKN),Faf du Plessis (UKN),Cameron Green (AR),Rajat Patidar (UKN),Glenn Maxwell (AR),Anuj Rawat (WK),Dinesh Karthik (UKN),Mahipal Lomror (AR),Alzarri Joseph (BL),Mayank Dagar (BL),Mohammed Siraj (BL),Yash Dayal (BL)","Shikhar Dhawan (UKN),Jonny Bairstow (UKN),Prabhsimran Singh (UKN),Liam Livingstone (AR),Sam Curran (AR),Jitesh Sharma (WK),Shashank Singh (AR),Harpreet Brar (BL),Harshal Patel (BL),Kagiso Rabada (BL),Rahul Chahar (BL),Arshdeep Singh (BL)","Shikhar Dhawan,Jitesh Sharma","Harpreet Brar,Kagiso Rabada",25 March 2024 - night match (20-over match),Anil Chaudhary,Saidharshan Kumar,Bruce Oxenford,Manu Nayar,Mohit Krishnadas
2024,1422125,Chennai Super Kings v Gujarat Titans,CSK v GT,"7th Match (N), Indian Premier League at Chennai, Mar 26 2024",CSK,GT,GT,BOWL FIRST,206/6,143/8,206/6,143/8,CSK,CSK won by 63 runs,2024-03-26T14:00Z,2024-03-27T23:59Z,58008,"MA Chidambaram Stadium, Chepauk, Chennai",Ruturaj Gaikwad,Shubman Gill,Shivam Dube,"Chennai Super Kings 2, Gujarat Titans 0",False,20,206,6,27,20,143,8,16,"Rachin, Dube and CSK's quicks dispatch the Titans. Rachin Ravindra and Shivam Dube set up CSK's 206 before their five fast bowlers shut down Gujarat Titans' chase","Shivam Dube,Ruturaj Gaikwad","Tushar Deshpande,Deepak Chahar","Ruturaj Gaikwad (UKN),Rachin Ravindra (AR),Ajinkya Rahane (UKN),Shivam Dube (AR),Daryl Mitchell (AR),Sameer Rizvi (UKN),Ravindra Jadeja (AR),MS Dhoni (WK),Deepak Chahar (BL),Tushar Deshpande (BL),Mustafizur Rahman (BL),Matheesha Pathirana (BL)","Wriddhiman Saha (WK),Shubman Gill (UKN),Sai Sudharsan (UKN),Vijay Shankar (AR),David Miller (UKN),Azmatullah Omarzai (AR),Rahul Tewatia (AR),Rashid Khan (AR),Umesh Yadav (BL),Spencer Johnson (BL),Sai Kishore (BL),Mohit Sharma (BL)","Sai Sudharsan,Wriddhiman Saha","Rashid Khan,Sai Kishore",26 March 2024 - night match (20-over match),Tapan Sharma,Alex Wharf,Jayaraman Madanagopal,Narayanan Kutty,Pranav Joshi
2024,1422126,Sunrisers Hyderabad v Mumbai Indians,SRH v MI,"8th Match (N), Indian Premier League at Hyderabad, Mar 27 2024",SRH,MI,MI,BOWL FIRST,277/3,246/5,277/3,246/5,SRH,SRH won by 31 runs,2024-03-27T14:00Z,2024-03-28T23:59Z,58142,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Pat Cummins,Hardik Pandya,Abhishek Sharma,"Sunrisers Hyderabad 2, Mumbai Indians 0",False,20,277,3,37,20,246,5,32,"Sunrisers trump Mumbai in record six-hitting carnage. Sunrisers made 277, the highest ever total in IPL history, and Mumbai, just as incredibly, fell only 31 short","Heinrich Klaasen,Abhishek Sharma","Pat Cummins,Jaydev Unadkat","Mayank Agarwal (UKN),Travis Head (UKN),Abhishek Sharma (AR),Aiden Markram (UKN),Heinrich Klaasen (WK),Abdul Samad (UKN),Shahbaz Ahmed (AR),Pat Cummins (BL),Bhuvneshwar Kumar (BL),Mayank Markande (BL),Jaydev Unadkat (BL),Umran Malik (BL)","Rohit Sharma (UKN),Ishan Kishan (WK),Naman Dhir (UKN),Tilak Varma (AR),Hardik Pandya (AR),Tim David (UKN),Romario Shepherd (AR),Gerald Coetzee (BL),Jasprit Bumrah (BL),Piyush Chawla (AR),Shams Mulani (AR),Kwena Maphaka (BL)","Tilak Varma,Tim David","Hardik Pandya,Piyush Chawla",27 March 2024 - night match (20-over match),KN Ananthapadmanabhan,Ulhas Gandhe,Kumar Dharmasena,Prakash Bhatt,Vaibhav Dhokre
2024,1422127,Rajasthan Royals v Delhi Capitals,RR v DC,"9th Match (N), Indian Premier League at Jaipur, Mar 28 2024",RR,DC,DC,BOWL FIRST,185/5,173/5,185/5,173/5,RR,RR won by 12 runs,2024-03-28T14:00Z,2024-03-29T23:59Z,58162,"Sawai Mansingh Stadium, Jaipur",Sanju Samson,Rishabh Pant,Riyan Parag,"Rajasthan Royals 2, Delhi Capitals 0",False,20,185,5,25,20,173,5,22,"Parag comes of age to keep Capitals, and away teams, winless. Chahal and Burger struck with Sandeep and Avesh closing things out with wide lines and yorkers","Riyan Parag,Ravichandran Ashwin","Yuzvendra Chahal,Nandre Burger","Yashasvi Jaiswal (UKN),Jos Buttler (UKN),Sanju Samson (WK),Riyan Parag (UKN),Ravichandran Ashwin (AR),Dhruv Jurel (UKN),Shimron Hetmyer (UKN),Trent Boult (BL),Avesh Khan (BL),Sandeep Sharma (BL),Yuzvendra Chahal (BL),Nandre Burger (BL)","David Warner (UKN),Mitchell Marsh (AR),Ricky Bhui (UKN),Rishabh Pant (WK),Tristan Stubbs (UKN),Abishek Porel (UKN),Axar Patel (AR),Sumit Kumar (AR),Kuldeep Yadav (BL),Anrich Nortje (BL),Mukesh Kumar (BL),Khaleel Ahmed (BL)","David Warner,Tristan Stubbs","Axar Patel,Khaleel Ahmed",28 March 2024 - night match (20-over match),Nitin Menon,Nand Kishore,Virender Sharma,Javagal Srinath,Madanagopal Kuppuraj
2024,1422128,Royal Challengers Bengaluru v Kolkata Knight Riders,RCB v KKR,"10th Match (N), Indian Premier League at Bengaluru, Mar 29 2024",RCB,KKR,KKR,BOWL FIRST,182/6,186/3,182/6,186/3,KKR,KKR won by 7 wkts (19b rem),2024-03-29T14:00Z,2024-03-30T23:59Z,57897,"M.Chinnaswamy Stadium, Bengaluru",Faf du Plessis,Shreyas Iyer,Sunil Narine,"Kolkata Knight Riders 2, Royal Challengers Bengaluru 0",False,20,182,6,22,16.5,186,3,22,"Narine and Venkatesh star as KKR end home teams' winning streak. Virat Kohli scored an unbeaten 83 but the effort was not enough for RCB, who lost with 19 balls remaining","Virat Kohli,Cameron Green","Vijaykumar Vyshak,Mayank Dagar","Virat Kohli (UKN),Faf du Plessis (UKN),Cameron Green (AR),Glenn Maxwell (AR),Rajat Patidar (UKN),Anuj Rawat (WK),Dinesh Karthik (UKN),Alzarri Joseph (BL),Mayank Dagar (BL),Mohammed Siraj (BL),Yash Dayal (BL),Vijaykumar Vyshak (BL)","Phil Salt (WK),Sunil Narine (AR),Venkatesh Iyer (AR),Shreyas Iyer (UKN),Rinku Singh (UKN),Andre Russell (AR),Ramandeep Singh (UKN),Mitchell Starc (BL),Anukul Roy (AR),Harshit Rana (BL),Angkrish Raghuvanshi (UKN),Varun Chakravarthy (BL)","Venkatesh Iyer,Sunil Narine","Andre Russell,Harshit Rana",29 March 2024 - night match (20-over match),Anil Chaudhary,Rohan Pandit,Bruce Oxenford,Manu Nayar,Mohit Krishnadas
